MCT_NM,OP_YMD,ADDR,pk
(주)케이에프씨코리아 KFC서귀포DI,20220427,제주 서귀포시 동홍동 1543번지 1층,60
(주)코드넷,20180328,제주 제주시 오라이동 1304-1번지 1층,61
(주)파리크라상파리바게뜨 제주공항점,20140521,제주 제주시 용담이동 2002번지 3층,62
(주)파리크라상파리바게뜨제주공항탑승점,20200925,제주 제주시 용담이동 2002번지 여객청사 2층,63
(주)파리크라상파스쿠찌제주대병원,20230818,제주 제주시 아라일동 1753-3번지 제주대학교병원 1층,64
(주)풀베개,20230726,제주 서귀포시 안덕면 서광리 1756-1번지,65
(주)플래닛제주,20210304,제주 제주시 용담이동 732번지 1동 1층,66
(주)피자알볼로 제주점,20160831,제주 제주시 이도이동 1978-9번지 1층,67
(주)허그인 제주,20230802,제주 서귀포시 보목동 274-9번지 2층,68
(주)호텔롯데 롯데호텔제주 델리카한스,20160602,제주 서귀포시 색달동 2812-4번지 롯데호텔 8층,69
007이모카세,20231115,제주 제주시 연동 274-10번지,70
064제주인생곱창,20200203,제주 제주시 이도이동 1970-4번지 1층,71
100번지숯불구이,20230209,제주 제주시 도평동 100번지 1층,72
1100고지휴게소,20160315,제주 서귀포시 색달동 산 1-3번지,73
114화교반점,20200313,제주 제주시 노형동 3806-2번지 1층,74
17번가,20170705,제주 제주시 애월읍 하귀2리 1433번지 1층,75
1943제주시청점,20201207,제주 제주시 이도이동 1771-1번지 2층,76
1943제주시청점,20230912,제주 제주시 이도이동 1771-1번지 2층,77
1943제주연동점,20200730,제주 제주시 연동 273-14번지 1호 츤,78
1950김프로,20191120,제주 서귀포시 서홍동 332번지 1층,79
1950에어차이나 제주공항점,20201008,제주 제주시 용담이동 2002번지 4층,80
1992감성포차,20220929,제주 제주시 한림읍 한림리 1121-1번지 2층,81
1박2일,20190208,제주 서귀포시 서귀동 296-9번지 1층,82
1호풍군푸드,20230424,제주 서귀포시 표선면 가시리 산 156-4번지,83
2010제주상춘재,20100430,제주 제주시 아라일동 6080-1번지 1층,84
2010제주상춘재,20231208,제주 제주시 아라일동 6080-1번지 1층,85
2010홍포차,20191126,제주 제주시 한림읍 한림리 937-5번지 1층,86
2046호,20210827,제주 서귀포시 대정읍 하모리 1033-1번지 제주특별자치도 서귀포시 대정읍 구억리 1033,87
20년  전통부대찌개,20041006,제주 제주시 삼도이동 819-23번지 1층,88
20세기소년,20201222,제주 제주시 이도일동 1258-10번지 1층,89
24시 전주명가콩나물국밥 노형점,20190509,제주 제주시 노형동 1054-2번지 1층,90
24시국수회관,20060414,제주 제주시 삼도일동 797-8번지,91
24시누름돌김치찌개,20190124,제주 제주시 연동 304-3번지 1층,92
24시누름돌생고기김치찌개 용담점,20210601,제주 제주시 용담이동 641-28번지 1층,93
24시뼈다귀신제주점,20000921,제주 제주시 연동 271-22번지,94
24시뼈다귀탕,20020703,제주 제주시 이도일동 1252-5번지,95
24시뼈다귀탕 신서귀점,20151217,제주 서귀포시 강정동 163-1번지,96
24시뼈다귀탕노형점,20220916,제주 제주시 노형동 936-11번지 1층,97
24시뼈다귀탕동홍점,20190308,제주 서귀포시 동홍동 107-6번지,98
24시뼈다귀탕삼화점,20170424,제주 제주시 화북일동 2064-1번지,99
24시뼈다귀탕이도점,20180313,제주 제주시 이도이동 442-8번지 1층,100
24시뼈다귀탕중문점,20180424,제주 서귀포시 중문동 2439-1번지 1층,101
24시서울뼈감탕해장국,20190211,제주 제주시 도남동 87-2번지,102
24시얼큰시원생고기김치찌개 노형점,20200123,제주 제주시 노형동 1283-1번지 1호,103
24시얼큰시원생고기김치찌개아라점,20191018,제주 제주시 아라일동 6103번지 1층,104
24시얼큰시원생고기김치찌개외도점,20170103,제주 제주시 외도일동 637-12번지 1층,105
24시전주명가콩나물국밥,20190711,제주 제주시 아라일동 2417-3번지 1층,106
24시전주명가콩나물국밥,20230131,제주 서귀포시 서귀동 423-9번지 1층,107
24시전주명가콩나물국밥일도점,20171227,제주 제주시 일도이동 48-2번지,108
24시제주해장국,20191210,제주 제주시 연동 271-20번지 1층,109
2도비어이도점,20200527,제주 제주시 이도이동 1948-10번지 1층,110
2실로와,20200813,제주 제주시 이도일동 1249-14번지 2층,111
2에프,20200826,제주 제주시 이도이동 1773-20번지 2층,112
2에프쿠치나(2F cucina),20210823,제주 제주시 한림읍 협재리 1398-2번지 2층 202호,113
2투1 카페,20230316,제주 제주시 연동 292-11번지 1층 101호,114
30년할매닭발,20180223,제주 제주시 외도일동 495-6번지,115
30년할매닭발,20191206,제주 제주시 일도이동 49-2번지 가나다주택 1호,116
30년할매닭발노형점,20210726,제주 제주시 노형동 2527-7번지 1호,117
30년할매닭발모슬포점,20200611,제주 서귀포시 대정읍 하모리 951-3번지 1호,118
337흑돼지캠핑처럼,20230428,제주 제주시 일도이동 70번지 1층,119
33떡볶이 신연동점,20220621,제주 제주시 연동 1482-1번지 1층,120
33떡볶이제주점,20221005,제주 서귀포시 대정읍 보성리 2377번지 에듀스타 102호,121
353숯불갈비,20220705,제주 제주시 조천읍 선흘리 2497-13번지,122
369돼지,20230224,제주 제주시 이도이동 1183-8번지 2층,123
426호프,20230719,제주 제주시 이도이동 2001-6번지 1층,124
43번가정육식당,20200804,제주 제주시 용담일동 189-3번지,125
5043 피자,20221024,제주 제주시 한림읍 협재리 2164-1번지 1층,126
513텐동,20201019,제주 제주시 내도동 513번지 2층,127
55돈,20230410,제주 제주시 외도일동 445-11번지 1층,128
5L2F(오엘이에프),20190417,제주 제주시 조천읍 와흘리 1912-3번지 (1동),129
60계제주서귀포신시가지점,20210118,제주 서귀포시 강정동 207-14번지 1층,130
60계제주서귀포신시가지점,20230803,제주 서귀포시 강정동 207-14번지 1층,131
60계제주시청점,20191007,제주 제주시 이도이동 1769-7번지 1층,132
60계제주아라점,20210713,제주 제주시 아라일동 6114-11번지 1층,133
60계제주중문점,20230728,제주 서귀포시 중문동 1884-1번지 1층 104호,134
60계치킨 제주노형점,20181127,제주 제주시 노형동 1066-2번지 세기6차아파트 109호,135
60계치킨성산점,20190215,제주 서귀포시 성산읍 고성리 1132-22번지 1층,136
60계치킨제주삼화지구점,20171226,제주 제주시 화북일동 1019-2번지 1층,137
60계치킨제주서귀포동홍점,20191002,제주 서귀포시 동홍동 413-5번지 1층,138
60계치킨제주서귀포중문점,20200106,제주 서귀포시 중문동 1884-1번지 1층 104호,139
60빈스,20200408,제주 서귀포시 호근동 405-1번지 호근동,140
6월9일(June. 9th),20230728,제주 제주시 연동 274-21번지 1층,141
708090비틀즈라이브,20220907,제주 제주시 용담삼동 516-2번지 3층,142
71금돈,20230412,제주 제주시 화북일동 1222-3번지 1층,143
71포차,20180907,제주 서귀포시 대정읍 하모리 930-1번지 1층,144
79대포제주시청점,20201112,제주 제주시 이도이동 1768-1번지 2층,145
7밀리그램,20220516,제주 제주시 한림읍 명월리 367-6번지,146
7번가피자 신서귀점,20160617,제주 서귀포시 강정동 1416-3번지 강정지예타운 102동 1층 102호,147
7번가피자 제주애월점,20210224,제주 제주시 애월읍 애월리 1414-1번지 나동 1층,148
7번가피자제주삼화점,20180711,제주 제주시 삼양이동 2181-36번지 1층,149
7번가피자제주애월점,20230307,제주 제주시 애월읍 애월리 1414-1번지 나동 1층,150
7번가피자제주이도점,20150519,제주 제주시 이도이동 1070번지 1층,151
7번가피자함덕점,20161018,제주 제주시 조천읍 함덕리 1252-37번지 나동,152
88양곱창,20200303,제주 제주시 이도이동 406-14번지,153
88포장마차 제주시청점,20200804,제주 제주시 이도이동 1766-6번지,154
88포장마차 제주연동점,20220721,제주 제주시 연동 273-67번지 2층,155
8번게이트주식회사,20220829,제주 제주시 이도일동 1434번지 1층,156
BAOB,20221116,제주 제주시 이도일동 1465-1번지 1층,157
BBQ  하귀애월점,20100206,제주 제주시 애월읍 하귀2리 1863번지,158
BBQ신연동점,20080401,제주 제주시 연동 1496번지,159
BBQ이도초교점,20150410,제주 제주시 도남동 746-4번지,160
BBQ치킨,20041206,제주 제주시 조천읍 1252-2번지,161
BHC 서귀행복점,20151130,제주 서귀포시 서홍동 342-5번지 1층,162
BHC 제주신화월드점,20171229,제주 서귀포시 안덕면 서광리 산 24-18번지 1층,163
BHC치킨신서귀포점,20170323,제주 서귀포시 법환동 740-4번지 1층,164
Baby Cafe 어놀,20191108,제주 제주시 노형동 1288-5번지 4층 408호,165
DoDo도도돈까스,20190830,제주 제주시 애월읍 광령리 964번지 101동 102호,166
EQ치킨,20171212,제주 서귀포시 대정읍 상모리 3967-14번지,167
GROOV,20200729,제주 제주시 한림읍 협재리 2447-7번지 1동 3층,168
KFC 서귀포중문DT,20151027,제주 서귀포시 색달동 2864-10번지 1층,169
Kim&Kim,20170425,제주 제주시 삼도이동 803-25번지 삼도이동,170
NAIVE,20220404,제주 제주시 이도이동 1188-16번지 1층,171
SM아이스크림 할인점,20180425,제주 제주시 도련일동 1909번지 제주삼화사랑으로부영7차아파트 상가동 103호,172
TONKATSU 서황,20160407,제주 제주시 애월읍 소길리 794-1번지 동상가,173
U.cafe 유.카페,20180418,제주 제주시 연동 270-19번지 1층,174
WASUP (와섭),20130829,제주 제주시 애월읍 곽지리 1581-7번지 1층 1호,175
centro,20180328,제주 서귀포시 서귀동 172-4번지 1층,176
가건물,20210409,제주 서귀포시 표선면 표선리 839-7번지 제1호,177
가는곶세화,20200625,제주 제주시 구좌읍 세화리 1355-3번지 1층,178
가다오다,20210319,제주 제주시 일도이동 1025-4번지,179
가닥,20230526,제주 제주시 연동 282-45번지,180
가담,20100316,제주 제주시 노형동 1044-10번지,181
가담국수 하귀점,20191004,제주 제주시 애월읍 하귀1리 154-1번지 1층,182
가득한한잔,20170705,제주 제주시 일도이동 1028-1번지 1층,183
가든업,20210805,제주 제주시 노형동 1283-21번지 1층,184
가든이다,20210713,제주 서귀포시 중문동 1703-1번지 1층,185
가락국수,20140630,제주 제주시 연동 283-2번지,186
가람돌솥밥,20110819,제주 서귀포시 대포동 747-3번지,187
가로수길마루,20220228,제주 제주시 애월읍 애월리 2467번지 1층,188
가르텐노형점,20140114,제주 제주시 노형동 1054-3번지,189
가리본가 광양점,20160510,제주 제주시 삼도일동 319-8번지,190
가리본가 노형점,20190726,제주 제주시 노형동 2588-7번지 1층,191
가리본가본점,20140708,제주 제주시 연동 2326-7번지,192
가마리식당,20180104,제주 서귀포시 표선면 세화리 351-1번지,193
가마솥국밥,20150216,제주 서귀포시 대정읍 하모리 2126-2번지,194
가마솥애,20131010,제주 제주시 일도이동 377-13번지,195
가마솥오리앤국밥,20231122,제주 서귀포시 대정읍 하모리 2126-2번지 1층,196
가마치통닭 노형점,20221118,제주 제주시 노형동 941번지,197
가마치통닭용담점,20210423,제주 제주시 용담일동 305-10번지 A동,198
가미돈,20150915,제주 제주시 이호이동 789-4번지 1층,199
가미정,20140205,제주 서귀포시 표선면 성읍리 547번지,200
가보세엠케이카페,20210430,제주 서귀포시 대정읍 하모리 841-32번지 1층,201
가보정원,20190823,제주 서귀포시 서호동 1462-1번지 지하1층,202
가본,20130809,제주 제주시 건입동 1319-22번지,203
가비,20140617,제주 제주시 일도이동 321번지,204
가빈거래처,20181128,제주 제주시 아라일동 368-81번지 1층,205
가스름식당,20011221,제주 서귀포시 표선면 가시리 1900-4번지,206
가시리은하수가든,20150130,제주 서귀포시 표선면 가시리 2501-6번지,207
가시림,20230925,제주 서귀포시 표선면 가시리 3275번지,208
가시버시정육구이,20160422,제주 제주시 연동 260-46번지 1층,209
가시식당,20160704,제주 서귀포시 표선면 가시리 1898-5번지,210
가시식당2호점,20161223,제주 제주시 이도이동 2035-15번지,211
가시아방국수,20140109,제주 서귀포시 성산읍 고성리 1195-1번지,212
가시어멍김밥,20211123,제주 제주시 노형동 1054-5번지 1층 노형동,213
가시어멍김밥,20231205,제주 제주시 노형동 1054-5번지 1층,214
가야밀면돼지국밥,20200611,제주 제주시 오라일동 1083-2번지 1동 2층,215
가야복집,20200921,제주 제주시 이도이동 1083-10번지,216
가야장수밀면,20210409,제주 서귀포시 토평동 2263-3번지,217
가야포도원,20070929,제주 제주시 봉개동 2079-1번지 1층,218
가영이네횟집,20181106,제주 제주시 일도일동 1097-11번지 일도일동,219
가을,19971222,제주 제주시 연동 311-17번지,220
가자우리집,20221103,제주 제주시 건입동 1319-5번지 1층,221
가자한식뷔페,20160122,제주 제주시 도두일동 2635번지 다동 2층,222
가장맛있는족발,20171123,제주 제주시 화북일동 1023-4번지,223
가장맛있는족발이도점,20190515,제주 제주시 아라이동 3012-11번지 1층,224
가정,20220510,제주 제주시 이도이동 1957-10번지 1층,225
가치,20181023,제주 제주시 용담일동 417번지 1층,226
가파도바다별장,20120131,제주 서귀포시 대정읍 가파리 206번지 1층,227
가파도별미식당,20161027,제주 서귀포시 대정읍 상모리 3944-14번지,228
가파도봄날에,20230207,제주 서귀포시 대정읍 가파리 463-1번지,229
가파도식탁,20210105,제주 서귀포시 서귀동 726-11번지,230
가파도엔 아이스크림,20220715,제주 서귀포시 대정읍 가파리 203-2번지 1층,231
가파도용궁정식,20210720,제주 서귀포시 대정읍 가파리 559-1번지 1층,232
가파도핫도그,20180313,제주 서귀포시 대정읍 가파리 365번지 1층,233
가파도해물짜장짬뽕,20140117,제주 서귀포시 대정읍 가파리 561-1번지,234
가회식당,20210903,제주 서귀포시 남원읍 남원리 103번지,235
가희카페,20230530,제주 제주시 삼도이동 803-23번지 지하1층,236
각시탈,20221116,제주 제주시 연동 273-45번지 1호,237
각지불,20051025,제주 제주시 조천읍 교래리 217번지,238
간또,20170306,제주 제주시 연동 272-35번지 연동,239
간또일도점,20201028,제주 제주시 일도이동 68-15번지 1층,240
간세다리족욕카페,20130307,제주 서귀포시 서귀동 318-23번지 2층,241
간세라운지,20150903,제주 제주시 일도일동 1448번지,242
간식창고 제주외도점,20230420,제주 제주시 외도일동 637-8번지 1층,243
간장을 품은 소라게,20181015,제주 제주시 애월읍 하귀2리 1674번지,244
갈매기팸,20190926,제주 제주시 구좌읍 세화리 1477-2번지 2층,245
갈비가맛있다,20191202,제주 서귀포시 대정읍 보성리 2477번지 1층 135호,246
갈비가맛있다 (별관),20190219,제주 서귀포시 대정읍 보성리 2477번지 1층 132호,247
갈비마당,20100308,제주 서귀포시 법환동 735-7번지,248
갈비먹기딱좋은날,20201216,제주 제주시 이도이동 1772-10번지 1층,249
갈비애드림 신산점,20201209,제주 제주시 일도이동 1024-5번지 1층,250
갈비에제왕,20191113,제주 서귀포시 대정읍 하모리 841-61번지 1층,251
갈치공장,20191128,제주 제주시 구좌읍 평대리 4-49번지 1층,252
갈치공장,20230523,제주 제주시 구좌읍 평대리 4-49번지 1층,253
갈치관,20220708,제주 제주시 애월읍 구엄리 1258-8번지 2층,254
갈치도,20230306,제주 제주시 한림읍 옹포리 588-2번지 1층,255
갈치옥,20210305,제주 제주시 조천읍 함덕리 1004-30번지 2층 2호,256
갈치왕,20180702,제주 서귀포시 상예동 1719-1번지 1층,257
갈치왕 성산점,20230424,제주 서귀포시 성산읍 성산리 180-5번지 1층,258
갈치음식점궁서체,20230410,제주 제주시 삼도이동 1167-1번지 2층,259
갈치포구,20230509,제주 제주시 애월읍 애월리 1771-2번지 1층,260
감각,20220829,제주 서귀포시 강정동 428번지 1층,261
감나무집,20121102,제주 제주시 오라일동 1074번지,262
감낭집,20031125,제주 서귀포시 표선면 표선리 40-1번지,263
감미숯불닭갈비,20211022,제주 제주시 노형동 2574-4번지 1층,264
감성돈,20200803,제주 제주시 한림읍 협재리 2447-41번지 1층,265
감성밥집바다의집,20200709,제주 서귀포시 성산읍 오조리 797-1번지 1층,266
감성쭈꾸미,20230706,제주 제주시 외도일동 637-12번지 1층,267
감성커피한라병원점,20210823,제주 제주시 연동 1964-3번지 연동펠리체아파트 104호,268
감수촌,20160212,제주 제주시 삼양이동 2135-5번지 1층,269
감정,20210113,제주 서귀포시 동홍동 422-1번지,270
감초식당,20040203,제주 제주시 이도일동 1289-5번지,271
감탄,20231113,제주 서귀포시 강정동 596-3번지 1층,272
갑도니,20200402,제주 제주시 이도이동 1765-3번지 1층,273
갑부보쌈,20230821,제주 제주시 도남동 922-31번지 1층,274
갑순이네,20150603,제주 서귀포시 중문동 2116-1번지 1층,275
갓돈,20220228,제주 서귀포시 회수동 637번지 1층,276
갓포아키제주도점,20220406,제주 제주시 연동 263-15번지 메종글래드제주 1층,277
갓포효,20230607,제주 제주시 노형동 945-8번지,278
강강술래,20100517,제주 제주시 이도일동 1349-30번지,279
강남,20220616,제주 제주시 이도일동 1289-5번지 1층 28호,280
강남참숯구이,20190813,제주 서귀포시 안덕면 동광리 1282번지,281
강명선샤브샤브,20120507,"제주 제주시 연동 300-17번지 연동,(연동)",282
강사또,20101118,제주 제주시 연동 1965-6번지,283
강선장당일바리,20200805,제주 제주시 노형동 1068-15번지,284
강성통닭 제주본점,20231201,제주 제주시 이도이동 442-1번지 1층,285
강셰프의 키친,20171121,제주 서귀포시 대정읍 무릉리 322-5번지,286
강식당,20170215,제주 제주시 한림읍 협재리 1680-1번지 2동 1층,287
강실장회포차,20200911,제주 서귀포시 강정동 208-8번지 201호,288
강에스피자,20090506,제주 제주시 한경면 고산리 2236-5번지,289
강연우동태찌개제주외도점,20170119,제주 제주시 외도일동 640-2번지 해마루풍경 101동 102호,290
강정북어국,20221221,제주 서귀포시 강정동 855-1번지 강정동,291
강정중국집,20210924,제주 서귀포시 강정동 2881-19번지,292
강정통닭,20160715,제주 서귀포시 서귀동 ,293
강정포구횟집,20080423,제주 서귀포시 강정동 4686-2번지,294
강정해녀의집,20140812,제주 서귀포시 강정동 4964번지,295
강창구찹쌀진순대노형점,20230605,제주 제주시 노형동 906번지 2층,296
강촌닭갈비,20141216,제주 제주시 이도이동 1188-3번지,297
강촌숯불닭갈비도남점,20210305,제주 제주시 도남동 915번지,298
강촌숯불닭갈비제주본점,20200224,제주 제주시 연동 272-38번지 1층,299
강춘식당,20121116,제주 제주시 일도일동 1103-5번지,300
강풍해장국,20180123,제주 서귀포시 안덕면 사계리 3440-1번지 1호,301
강해일횟집,20080616,제주 서귀포시 표선면 표선리 42번지 40-311 2층,302
개가게를판다,20191118,제주 제주시 용담삼동 2360번지 1층,303
개미와베짱이,20180727,제주 제주시 아라일동 362-46번지,304
개성회관,20140422,제주 제주시 용담삼동 1032-7번지 1층 2호 층,305
개정 노형점,20220322,제주 제주시 노형동 728-1번지 1층,306
갤러리버금,20190520,제주 서귀포시 하효동 753-1번지,307
갯것이,20010618,제주 제주시 이도이동 319-3번지,308
갯동산,20180607,제주 제주시 구좌읍 평대리 2009-6번지 2층,309
갯마을식당,20170307,제주 서귀포시 남원읍 신흥리 152번지,310
갯바위식당,20090225,제주 서귀포시 서귀동 257-8번지,311
갱길이네고사리삼겹살,20191216,제주 제주시 용담이동 2682-1번지 1층,312
갱이네보말칼국수,20131206,제주 제주시 도남동 58-5번지,313
거래처,20210225,제주 제주시 연동 303-2번지 1층,314
거로집,20191205,제주 제주시 화북일동 4721-22번지 1층,315
거마가든,20180209,제주 제주시 아라이동 987-1번지,316
거멍국수,20150702,제주 서귀포시 안덕면 사계리 522-1번지 1층,317
거목,20180305,제주 제주시 한림읍 한림리 1348번지 가동,318
거문덕이식당,20110624,제주 제주시 애월읍 유수암리 2475-1번지,319
거문오름식당,20220624,제주 제주시 조천읍 선흘리 470-1번지 1층,320
거부,20230308,제주 제주시 연동 262-39번지,321
거제도횟집,20130903,제주 제주시 건입동 1435-2번지,322
거제아구찜,20150121,제주 서귀포시 대정읍 하모리 2142-1번지,323
건입동마을협동조합,20180514,제주 제주시 건입동 984-41번지 마동 1층,324
건호네식당,20120601,제주 서귀포시 대정읍 상모리 126-5번지 형제도식당,325
걸어가는 늑대들,20190627,제주 제주시 조천읍 함덕리 산 14-9번지,326
검은노루,20181031,제주 서귀포시 대정읍 상모리 3169-10번지 1층,327
검은쇠몰고오는,20220919,제주 제주시 연동 296-7번지,328
검은여닭도가니,20100630,제주 서귀포시 토평동 472번지,329
검은여식당본점,20060803,제주 서귀포시 표선면 표선리 1861번지 1층,330
검은여흑돼지,20210405,제주 서귀포시 표선면 표선리 1861번지 1층,331
게슈탈트 커피 제주,20221206,제주 제주시 조천읍 선흘리 626-2번지 1층,332
게우지코인 인 갤러리,20161227,제주 서귀포시 하효동 1371번지,333
겹겹의 의도,20171012,제주 제주시 노형동 3802-14번지 1층,334
경동식당,20030103,제주 서귀포시 안덕면 화순리 1077-1번지,335
경락,20091224,제주 제주시 일도이동 420-4번지,336
경미네집,20190318,제주 서귀포시 성산읍 성산리 145-4번지 성산,337
경미해장국,20100621,제주 제주시 노형동 1294-1번지,338
경복정,20131209,제주 제주시 일도이동 157-31번지,339
경성살롱,20230522,제주 서귀포시 서호동 28번지,340
경성숯불양꼬치,20150415,제주 제주시 연동 282-52번지,341
경성함바그앤버거스캔들제주점,20201110,제주 제주시 이도이동 1970-20번지 1층,342
경애관,20130715,제주 제주시 연동 295-5번지,343
경양식탁,20230912,제주 제주시 아라일동 6142-12번지 1층,344
경양카츠제주점,20211025,제주 제주시 이도이동 1987-2번지 1층,345
경인식당,19990521,제주 서귀포시 남원읍 남원리 110-1번지,346
경일낙지,20020112,제주 제주시 노형동 1291-3번지,347
경춘선,20230307,제주 제주시 일도이동 160번지,348
경풍식당,20040227,제주 제주시 도두일동 2149-1번지,349
경희네몽생이,20140912,제주 제주시 연동 283-64번지 1층,350
곁,20230222,제주 제주시 일도일동 1401-15번지 코너 1층,351
곁애,20210722,제주 서귀포시 동홍동 410-4번지 1층,352
계성,20091123,제주 제주시 오라일동 2452-1번지,353
계절식탁시청점,20220513,제주 제주시 이도이동 1768-3번지,354
계절식탁향토,20210607,제주 제주시 조천읍 함덕리 1004-41번지 2층,355
고가네,20160304,제주 서귀포시 중문동 1963-1번지,356
고가촌,20160304,제주 제주시 일도이동 413-17번지 1층,357
고가치,20230926,제주 제주시 노형동 916-5번지 1층,358
고객식당,20080225,제주 제주시 이도일동 1429번지 1층,359
고고다찌,20200522,제주 제주시 한림읍 한림리 1328-39번지 1층,360
고구려,20011031,제주 제주시 연동 1511-1번지,361
고국수,20221125,제주 제주시 용담이동 2682-7번지 1층,362
고군족발,20210518,제주 서귀포시 중문동 2025-1번지,363
고궁,20151023,제주 서귀포시 성산읍 성산리 228-10번지 1층,364
