AREA_NM,New_ADDR,Old_ADDR
갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,제주특별자치도 제주시 조천읍 교래리 457-1
강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,제주특별자치도 서귀포시 대정읍 상모리 3846
강정어촌계,제주특별자치도 서귀포시 말질로 290,제주특별자치도 서귀포시 강정동 4964
강정천유원지,제주특별자치도 서귀포시 강정통물로 (강정동),제주특별자치도 서귀포시 강정동
개떼목장,제주특별자치도 서귀포시 안덕면 평화로 486 (덕수리),제주특별자치도 서귀포시 안덕면 덕수리 1513-1
개미남,제주특별자치도 제주시 구산로 26,제주특별자치도 제주시 아라일동 2408-18
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,제주특별자치도 서귀포시 표선면 성읍리 2974
개오리오름,제주특별자치도 제주시 봉개동,제주특별자치도 제주시 봉개동
개인공간,제주특별자치도 제주시 매촌1길 3-1,제주특별자치도 제주시 도련이동 542-1
갤러리2 중선농원,제주특별자치도 제주시 영평길 269,제주특별자치도 제주시 월평동 1348-3
거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,제주특별자치도 서귀포시 안덕면 동광리 산 94
거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,제주특별자치도 제주시 조천읍 선흘리 478
거믄여해안경승지,제주특별자치도 서귀포시 516로,제주특별자치도 서귀포시 토평동
거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,제주특별자치도 제주시 구좌읍 송당리 산 145
거인의 정원,제주특별자치도 제주시 대원길 58,제주특별자치도 제주시 아라일동 2853-1
거친오름,제주특별자치도 제주시 명림로 520 (봉개동),제주특별자치도 제주시 봉개동 산51-2
건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1736
건강장수마을 산양리 농어촌체험마을,제주특별자치도 제주시 한경면 중산간서로 3169,제주특별자치도 제주시 한경면 청수리 3256-3
걸매생태공원,제주특별자치도 서귀포시 남성로 (서홍동),제주 서귀포시 서홍동 1207
걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,제주특별자치도 서귀포시 서홍동 470
걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,제주특별자치도 서귀포시 남원읍 하례리 산124
검멀레동굴,제주특별자치도 제주시 우도면,제주특별자치도 제주시 우도면
검멀레해변,제주특별자치도 제주시 우도면 우도해안길,제주특별자치도 제주시 우도면 우도해안길
게우지코지,제주특별자치도 서귀포시 하효동,제주특별자치도 서귀포시 하효동
겨울이네,제주특별자치도 제주시 아란4길 91,제주특별자치도 제주시 아라일동 6064
고근산(고공산),제주특별자치도 서귀포시 고근산로202번길 48,제주특별자치도 서귀포시 서호동 1302-1
고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,제주특별자치도 제주시 애월읍 고내리 463
고내리포구,제주특별자치도 제주시 애월읍 고내리,제주특별자치도 제주시 애월읍 고내리
"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,제주특별자치도 제주시 애월읍 고내리 산 3-1
고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,제주특별자치도 제주시 애월읍 광령리 2535
고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,제주특별자치도 서귀포시 대정읍 영락리 2169
고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,제주특별자치도 서귀포시 남원읍 하례리 산 54-2
고씨주택,제주특별자치도 제주시 관덕로17길 27-1,제주특별자치도 제주시 일도일동 1243-1
고요산책,제주특별자치도 제주시 중앙로12길 5,제주특별자치도 제주시 이도일동 1387-3
고포잇다이브센터,제주특별자치도 서귀포시 이어도로 685-1,제주특별자치도 서귀포시 강정동 2628-1
고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,제주특별자치도 서귀포시 성산읍 삼달리 1185-2
곤물,제주특별자치도 서귀포시 안덕면 화순서서로64번길 64-4,제주특별자치도 서귀포시 안덕면 화순리 1190-1
곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,제주특별자치도 제주시 화북1동 4438
골프탕탕,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,제주특별자치도 서귀포시 안덕면 상천리 380-7
곱닥한개,제주특별자치도 제주시 설촌로10길 12,제주특별자치도 제주시 삼양이동 2101-10
곱뜨락아띠 향수공방,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,제주특별자치도 서귀포시 안덕면 사계리 2266-1
공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,제주특별자치도 제주시 구좌읍 월정리 52
공천포,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리
공천포구,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리
곶자왈,제주특별자치도 서귀포시 대정읍 신평리,제주특별자치도 서귀포시 대정읍 신평리
곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,제주특별자치도 제주시 애월읍 곽지리 2043-1
곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),제주특별자치도 제주시 애월읍 애월원당길 (곽지리)
곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,명제주특별자치도 제주시 애월읍 곽지1길 31
관덕정,제주특별자치도 제주시 관덕로 19,제주특별자치도 제주시 삼도이동 983-1
관음사,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
관음사 군 주둔지 옛터,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
관음사 야영장,제주특별자치도 제주시 산록북로 588,제주특별자치도 제주시 오등동 산180-3
관음사 템플스테이,제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
광령귤나무,제주특별자치도 제주시 애월읍 광령8길 24-2,제주특별자치도 제주시 애월읍 광령리 1165-1
광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,제주특별자치도 서귀포시 성산읍 고성리 224-18
교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산95
구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,제주특별자치도 제주시 애월읍 구엄리 609-1
구엄포구,제주특별자치도 제주시 애월읍 구엄리,제주특별자치도 제주시 애월읍 구엄리
구좌 하도어촌계,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,제주특별자치도 제주시 구좌읍 하도리 22-10
구좌해안로,제주특별자치도 제주시 구좌읍 구좌해안로,제주특별자치도 제주시 구좌읍 동복리
국립제주박물관,제주특별자치도 제주시 일주동로 17,제주특별자치도 제주시 건입동 261
"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 산 3-1,제주특별자치도 서귀포시 안덕면 창천리 산 3-1
굴동포구,제주특별자치도 제주시 구좌읍 해맞이해안로,제주 제주시 구좌읍 하도리 385-12
굿다이버,제주특별자치도 서귀포시 중산간서로 41 (강정동),제주특별자치도 서귀포시 강정동 1528-3
궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 금백조로 446,제주특별자치도 서귀포시 성산읍 수산리 4711-1
귀덕연대,제주특별자치도 제주시 한림읍 귀덕14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1118
귀빈사,제주특별자치도 제주시 구좌읍 비자림로 1456,제주특별자치도 제주시 구좌읍 송당리 2438
귤밭76번지,제주특별자치도 제주시 화북이동 5495-2,제주특별자치도 제주시 화북이동 5495-2
귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428,제주특별자치도 제주시 조천읍 대흘리 172
그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174,제주특별자치도 서귀포시 대포동 2367-1
그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,제주특별자치도 서귀포시 남원읍 위미리 1881-2
그루밍시즌,제주특별자치도 서귀포시 동홍로 29,제주특별자치도 서귀포시 서귀동 260-13
그루밍제주,제주특별자치도 서귀포시 천제연로 357,제주특별자치도 서귀포시 회수동 556
그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,제주특별자치도 제주시 한림읍 금악리 산30-12
그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,제주특별자치도 서귀포시 안덕면 화순리 636-15
그린페블,제주특별자치도 제주시 한림읍 수동7길 54-3,제주특별자치도 제주시 한림읍 월림리 723
그제바람 윈드서핑패들보드,제주특별자치도 제주시 선사로8길 13-4,제주특별자치도 제주시 삼양일동 1569-42
금능석물원,제주특별자치도 제주시 한림읍 한림로 176,제주특별자치도 제주시 한림읍 금능리 1282-9
금능포구,제주특별자치도 제주시 한림읍 금능리,제주특별자치도 제주시 한림읍 금능리
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,제주특별자치도 제주시 한림읍 금능리 2026
금당목장ATV,제주특별자치도 서귀포시 안덕면 신화역사로685번길 13-16,제주특별자치도 서귀포시 안덕면 동광리 57
금덕무환자나무및팽나무군락,제주특별자치도 제주시 애월읍 유수암리 1920,제주특별자치도 제주시 애월읍 유수암리 1920
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11,제주특별자치도 제주시 구좌읍 김녕리 1145-49
금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,제주특별자치도 제주시 구좌읍 김녕리 1145-49
금붕사,제주특별자치도 제주시 구좌읍 일주동로 3618-1,제주특별자치도 제주시 구좌읍 하도리 994
금성포구,제주특별자치도 제주시 애월읍 금성리 573-1,제주특별자치도 제주시 애월읍 금성리 573-1
금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,제주특별자치도 제주시 한림읍 금악리 산 1-1
기독교순례길 1코스(순종의길),제주특별자치도 제주시 애월읍 금성하안길 3,제주특별자치도 제주시 애월읍 금성리 436-3
기독교순례길 2코스(순교의길),제주특별자치도 제주시 한림읍 협재8길 8,제주특별자치도 제주시 한림읍 협재리 1791
기독교순례길 3코스(사명의길),제주특별자치도 제주시 한경면 조수3길 7,제주특별자치도 제주시 한경면 조수리 331-1
기독교순례길 4코스(화해의길),제주특별자치도 서귀포시 대정읍 추사로36번길 11,제주특별자치도 서귀포시 대정읍 안성리 1639
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,제주특별자치도 제주시 회천동 391
김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕로 209,제주특별자치도 제주시 구좌읍 김녕리 497-1
김녕 청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,명제주특별자치도 제주시 구좌읍 김녕로1길 75-1
김녕금속공예벽화마을,제주특별자치도 제주시 구좌읍 김녕항3길 18-16,제주특별자치도 제주시 구좌읍 김녕리 4001
김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,명제주특별자치도 제주시 구좌읍 덕평로 392-1
김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,제주특별자치도 제주시 구좌읍 김녕리 4212-1
김녕항,제주특별자치도 제주시 구좌읍 김녕항1길 50-13,제주특별자치도 제주시 구좌읍 김녕리 4074-2
김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,제주특별자치도 제주시 구좌읍 김녕리 4330
김녕해수욕장야영장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,제주특별자치도 제주시 구좌읍 김녕리 497-4
김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,제주특별자치도 제주시 구좌읍 김녕리
김만덕객주,제주특별자치도 제주시 임항로 68,제주특별자치도 제주시 건입동 984-41
김만덕기념관,제주특별자치도 제주시 산지로 7,제주특별자치도 제주시 건입동 1164
김서프제주,제주특별자치도 서귀포시 색달로81번길 39,제주특별자치도 서귀포시 색달동 1992
김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,제주특별자치도 서귀포시 성산읍 삼달리 437-5
김영수도서관,제주특별자치도 제주시 중앙로8길 18,제주특별자치도 제주시 삼도이동 17-3
김택화미술관,제주특별자치도 제주시 조천읍 신흥로 1,제주특별자치도 제주시 조천읍 신흥리 227-5
김한미술관 & 카페3206,제주특별자치도 제주시 한림읍 한상로 115,제주특별자치도 제주시 한림읍 상대리 3206
까끄래기오름,제주특별자치도 제주시 조천읍 교래리 128,제주특별자치도 제주시 조천읍 교래리 128
꽃썸,서귀포시 안덕면 동광로 151,제주특별자치도 서귀포시 안덕면 동광리 950-3
꿈바당 어린이도서관,제주특별자치도 제주시 연오로 140,제주특별자치도 제주시 연동 463
나바론절벽,제주특별자치도 제주시 추자면 영흥리 산 19,제주특별자치도 제주시 추자면 영흥리 산 19
나틸다,제주특별자치도 제주시 아란5길 31-6,제주특별자치도 제주시 아라일동 6093-2
낙선동 4.3성,제주특별자치도 제주시 조천읍 선흘서5길 13,제주특별자치도 제주시 조천읍 선흘리 2734-5
낙천리아홉굿의자마을,제주특별자치도 제주시 한경면 낙수로 97,제주특별자치도 제주시 한경면 낙천리 1913
낙천아홉굿마을 의자공원,제주특별자치도 제주시 한경면 낙수로 97,제주특별자치도 제주시 한경면 낙천리 1913
낙타트래킹,제주특별자치도 서귀포시 표선면 번영로 2564-21,제주특별자치도 서귀포시 표선면 성읍리 2684
남내소,제주특별자치도 서귀포시 남원읍 하례로,제주특별자치도 서귀포시 남원읍 하례리
남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,제주특별자치도 제주시 애월읍 신엄리 2780-1
남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,제주특별자치도 서귀포시 대정읍 인성리 392
남수각 하늘길 벽화거리,제주특별자치도 제주시 중앙로13길 32,제주특별자치도 제주시 일도일동 1100-12
남원 위미2리 어촌계,제주특별자치도 서귀포시 남원읍 태위로 208,제주특별자치도 서귀포시 남원읍 위미리 1662-1
남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,제주특별자치도 서귀포시 남원읍 남원리 2379-3
남원항 (남원포구),제주특별자치도 서귀포시 남원읍 남태해안로 140,제주특별자치도 서귀포시 남원읍 남원리 91-6
납읍난대림 금산공원,제주특별자치도 제주시 애월읍 납읍리 14 57,제주특별자치도 제주시 애월읍 납읍리 14 57
내창트레킹,제주특별자치도 서귀포시 남원읍 하례중앙로 95,제주특별자치도 서귀포시 남원읍 하례리 677
너도나도 ATV,제주특별자치도 제주시 조천읍 비자림로 1053,제주특별자치도 제주시 조천읍 교래리 38
너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,제주특별자치도 제주시 조천읍 북촌리 1599
넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8,제주특별자치도 제주시 노형동 86
노루생태관찰원,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산51-2
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 654-1
노을승마장,제주특별자치도 제주시 우도면 우도해안길 406-1,제주특별자치도 제주시 우도면 연평리 2358
노을해안1014,제주특별자치도 제주시 한경면 노을해안로 1014,제주특별자치도 제주시 한경면 고산리 3431-1
노을해안로,제주특별자치도 서귀포시 대정읍 노을해안로 24,제주특별자치도 서귀포시 대정읍 일과리 1424-1
노형수퍼마켙,제주특별자치도 제주시 노형로 89,제주특별자치도 제주시 해안동 2137-1
녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,제주특별자치도 서귀포시 표선면 가시리 산 87-15
논짓물,제주특별자치도 서귀포시 하예동,제주특별자치도 서귀포시 하예동
놀멍쉬멍고르멍(애견카페),제주특별자치도 서귀포시 현청로 51,제주특별자치도 서귀포시 서홍동 136-1
놀자개,제주특별자치도 제주시 오광로 143,제주특별자치도 제주시 노형동 3702-2
농개,제주특별자치도 서귀포시 성산읍 환해장성로111번길 4,제주특별자치도 서귀포시 성산읍 신산리 561-1
높은오름,제주특별자치도 제주시 구좌읍 송당리 산 213-1,제주특별자치도 제주시 구좌읍 송당리 산 213-1
누운오름(한림읍),제주특별자치도 제주시 한림읍 금악리 188-2,제주특별자치도 제주시 한림읍 금악리 188-2
누웨마루거리(구 바오젠),제주특별자치도 제주시 신광로 47,제주특별자치도 제주시 연동 273-1
눈물의십자가,제주특별자치도 제주시 추자도,제주특별자치도 제주시 추자도
느지리오름(망오름),제주특별자치도 제주시 한림읍 상명리 산 5,명제주특별자치도 제주시 한림읍 봉수대길 5
니모스토리,제주특별자치도 제주시 구좌읍 김녕로17길 33-1,제주특별자치도 제주시 구좌읍 김녕리 1267-1
다끄네포구(용담포구),제주특별자치도 제주시 용담3동,제주특별자치도 제주시 용담3동
다랑쉬굴,제주특별자치도 제주시 구좌읍 세화리 2608-6,제주특별자치도 제주시 구좌읍 세화리 2608-6
다랑쉬마을,제주특별자치도 제주시 구좌읍 다랑쉬로 406-25,제주특별자치도 제주시 구좌읍 세화리 2668-2
다랑쉬오름(월랑봉),제주특별자치도 제주시 구좌읍 세화리 2705,제주특별자치도 제주시 구좌읍 세화리 2705
다려도,제주특별자치도 제주시 조천읍 북촌리,제주특별자치도 제주시 조천읍 북촌리
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644,제주특별자치도 서귀포시 표선면 성읍리 2381
단산(바굼지오름),제주특별자치도 서귀포시 안덕면 향교로 165-23,제주특별자치도 서귀포시 안덕면 사계리 3124
단산과 방사탑,제주특별자치도 제주시 조천읍 신흥로1길 25,제주특별자치도 제주시 조천읍 신흥리 512-1
달다제주,제주특별자치도 제주시 조천읍 조함해안로 9,제주특별자치도 제주시 조천읍 조천리 2593-3
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1,제주특별자치도 제주시 조천읍 신촌리 2408-1
답다니 탑망대 (하트원담),제주특별자치도 제주시 우도면 연평리 798,제주특별자치도 제주시 우도면 연평리 798
"당산봉(당오름,차귀오름)",제주특별자치도 제주시 한경면 고산리 산 15,제주특별자치도 제주시 한경면 고산리 산 15
당오름,제주특별자치도 제주시 구좌읍 송당리 산 199-1,제주특별자치도 제주시 구좌읍 송당리 산 199-1
당오름(안덕면),제주특별자치도 서귀포시 안덕면 동광리 산 68-1,제주특별자치도 서귀포시 안덕면 동광리 산 68-1
당오름(한경면),제주특별자치도 제주시 한경면 용수리 산 18,제주특별자치도 제주시 한경면 용수리 산 18
당케산물(당케포구),제주특별자치도 서귀포시 표선면 표선당포로,제주 서귀포시 표선면 표선리 1-2
대림리선돌,제주특별자치도 제주시 한림읍 대림리,제주특별자치도 제주시 한림읍 대림리
"대수산봉(큰물뫼,물미오름)",제주특별자치도 서귀포시 성산읍 고성리 2039-1,제주특별자치도 서귀포시 성산읍 고성리 2039-1
대수포구,제주특별자치도 제주시 한림읍 수원리 1027-7,제주특별자치도 제주시 한림읍 수원리 1027-7
"대왕산 (왕뫼, 왕메, 왕미)",제주특별자치도 서귀포시 성산읍 수산리 1429,제주특별자치도 서귀포시 성산읍 수산리 1429
대유ATV수렵사격랜드,제주특별자치도 서귀포시 상예로 381,제주특별자치도 서귀포시 상예동 144
대장금촬영지(제주민속촌),제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40-1
대정면 4.3사건 위령비,제주특별자치도 서귀포시 대정읍 동일하모로 158-3,제주특별자치도 서귀포시 대정읍 하모리 1224
대정해변(하모해변),제주특별자치도 서귀포시 대정읍 하모리,제주특별자치도 서귀포시 대정읍 하모리
대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17,제주특별자치도 서귀포시 안덕면 사계리 3126-1
대정현역사자료전시관,제주특별자치도 서귀포시 대정읍 상모대서로 17,제주특별자치도 서귀포시 대정읍 상모리 3862-1
대평포구,제주특별자치도 서귀포시 안덕면 감천로190번길 9-62-2,제주 서귀포시 안덕면 창천리 914-5
대포포구,제주특별자치도 서귀포시 대포로,제주 서귀포시 대포동
대한민국최남단기념비/ 마라도 기념비,제주특별자치도 서귀포시 대정읍 마라로 131,제주특별자치도 서귀포시 대정읍 가파리 583-9
댕댕놀이터,제주특별자치도 제주시 도근내길 56,제주특별자치도 제주시 내도동 720
댕댕샤워,제주특별자치도 제주시 애월읍 하귀9길 54-8,제주특별자치도 제주시 애월읍 하귀1리 161-10
더 플래닛(THE PLANET),제주특별자치도 서귀포시 천제연로 70,제주특별자치도 서귀포시 색달동 2558
"더럭초등학교(구, 더럭분교)",제주특별자치도 제주시 애월읍 하가로 195,제주특별자치도 제주시 애월읍 하가리 1580-1
더마카트,제주특별자치도 제주시 한림읍 월림7길 155,제주특별자치도 제주시 한림읍 월림리 2364
더마파크,제주특별자치도 제주시 한림읍 월림7길 155,제주특별자치도 제주시 한림읍 월림리 2364
더펫츠,제주특별자치도 제주시 1100로 3124,제주특별자치도 제주시 노형동 156-8
더힐하우스스파,제주특별자치도 제주시 한림읍 한창로 925-122,제주특별자치도 제주시 한림읍 금악리 84-1
덕천곤충영농조합,제주특별자치도 제주시 구좌읍 중산간동로 1875,제주특별자치도 제주시 구좌읍 덕천리 1252
덕천리 팔자 좋아 길,제주특별자치도 제주시 구좌읍 중산간동로,제주특별자치도 제주시 구좌읍 덕천리
뎁스원 프리다이빙센터,제주특별자치도 제주시 한림읍 한림로 375,제주특별자치도 제주시 한림읍 협재리 1890
도곤도곤 애견미용실,제주특별자치도 제주시 성신로1길 21,제주특별자치도 제주시 연동 2326-13
도그앤캣,제주특별자치도 서귀포시 홍중로 119-2  601동 107호,제주특별자치도 서귀포시 서홍동 2598
도도펫,제주특별자치도 제주시 우령8길 63-16,제주특별자치도 제주시 외도일동 633-17
도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,제주특별자치도 제주시 도두1동
도두봉,제주특별자치도 제주시 도두동 산 1,제주특별자치도 제주시 도두동 산 1
도두항,제주특별자치도 제주시 도공로 2,제주특별자치도 제주시 도두일동 2614-5
도두해안도로,제주특별자치도 제주시 도두2동 706-3,제주특별자치도 제주시 도두2동 706-3
도령모루,제주특별자치도,제주특별자치도
도리미오름,제주특별자치도 제주시 구좌읍 송당리 산 255-1,제주특별자치도 제주시 구좌읍 송당리 산 255-1
도순다원,제주특별자치도 서귀포시 중산간서로356번길 152-41,제주특별자치도 서귀포시 도순동 1-1
도시해녀,제주특별자치도 제주시 애월읍 하귀미수포길 16-1,제주특별자치도 제주시 애월읍 하귀2리 1670-1
도치돌 알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293,제주특별자치도 제주시 애월읍 납읍리 102
독자봉,제주특별자치도 서귀포시 성산읍 신산리 1785,제주특별자치도 서귀포시 성산읍 신산리 1785
돈내코,제주특별자치도 서귀포시 516로 (상효동),제주특별자치도 서귀포시 상효동 1460-3 돈내코왕휴게소
돈내코유원지,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1460-3
돈대산,제주특별자치도 제주시 추자면 예초리 산 67-1,제주특별자치도 제주시 추자면 예초리 산 67-1
돈대산산림휴양산책로,제주특별자치도 제주시 추자면 예초리 산 67-1,제주특별자치도 제주시 추자면 예초리 산 67-1
돔박이오름 (동박악),제주특별자치도 서귀포시 안덕면 광평리 산 89,제주특별자치도 서귀포시 안덕면 광평리 산 89
돔베낭골,제주특별자치도 서귀포시 호근동,제주특별자치도 서귀포시 호근동
돔베낭길,제주특별자치도 서귀포시 태평로92번길 49,제주특별자치도 서귀포시 호근동 1619
동거문이오름,제주특별자치도 제주시 구좌읍 종달리 산 70,제주특별자치도 제주시 구좌읍 종달리 산 70
동계 정온 유허비,제주특별자치도 서귀포시 대정읍 안성리,제주특별자치도 서귀포시 대정읍 안성리
동굴의 다원 다희연,제주특별자치도 제주시 조천읍 선교로 266,제주특별자치도 제주시 조천읍 선흘리 2019-3
동귀방파제,제주특별자치도 제주시 애월읍 하귀리,제주특별자치도 제주시 애월읍 하귀리
