,pk,AREA_NM,New_ADDR,Old_ADDR
40,40,개인공간,제주특별자치도 제주시 매촌1길 3-1,제주특별자치도 제주시 도련이동 542-1
41,41,갤러리2 중선농원,제주특별자치도 제주시 영평길 269,제주특별자치도 제주시 월평동 1348-3
42,42,거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,제주특별자치도 서귀포시 안덕면 동광리 산 94
43,43,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,제주특별자치도 제주시 조천읍 선흘리 478
44,44,거믄여해안경승지,제주특별자치도 서귀포시 516로,제주특별자치도 서귀포시 토평동
45,45,거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,제주특별자치도 제주시 구좌읍 송당리 산 145
46,46,거인의 정원,제주특별자치도 제주시 대원길 58,제주특별자치도 제주시 아라일동 2853-1
47,47,거친오름,제주특별자치도 제주시 명림로 520 (봉개동),제주특별자치도 제주시 봉개동 산51-2
48,48,건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1736
49,49,건강장수마을 산양리 농어촌체험마을,제주특별자치도 제주시 한경면 중산간서로 3169,제주특별자치도 제주시 한경면 청수리 3256-3
50,50,걸매생태공원,제주특별자치도 서귀포시 남성로 (서홍동),제주 서귀포시 서홍동 1207
51,51,걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,제주특별자치도 서귀포시 서홍동 470
52,52,걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,제주특별자치도 서귀포시 남원읍 하례리 산124
53,53,검멀레동굴,제주특별자치도 제주시 우도면,제주특별자치도 제주시 우도면
54,54,검멀레해변,제주특별자치도 제주시 우도면 우도해안길,제주특별자치도 제주시 우도면 우도해안길
55,55,게우지코지,제주특별자치도 서귀포시 하효동,제주특별자치도 서귀포시 하효동
56,56,겨울이네,제주특별자치도 제주시 아란4길 91,제주특별자치도 제주시 아라일동 6064
57,57,고근산(고공산),제주특별자치도 서귀포시 고근산로202번길 48,제주특별자치도 서귀포시 서호동 1302-1
58,58,고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,제주특별자치도 제주시 애월읍 고내리 463
59,59,고내리포구,제주특별자치도 제주시 애월읍 고내리,제주특별자치도 제주시 애월읍 고내리
60,60,"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,제주특별자치도 제주시 애월읍 고내리 산 3-1
61,61,고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,제주특별자치도 제주시 애월읍 광령리 2535
62,62,고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,제주특별자치도 서귀포시 대정읍 영락리 2169
63,63,고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,제주특별자치도 서귀포시 남원읍 하례리 산 54-2
64,64,고씨주택,제주특별자치도 제주시 관덕로17길 27-1,제주특별자치도 제주시 일도일동 1243-1
65,65,고요산책,제주특별자치도 제주시 중앙로12길 5,제주특별자치도 제주시 이도일동 1387-3
66,66,고포잇다이브센터,제주특별자치도 서귀포시 이어도로 685-1,제주특별자치도 서귀포시 강정동 2628-1
67,67,고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,제주특별자치도 서귀포시 성산읍 삼달리 1185-2
68,68,곤물,제주특별자치도 서귀포시 안덕면 화순서서로64번길 64-4,제주특별자치도 서귀포시 안덕면 화순리 1190-1
69,69,곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,제주특별자치도 제주시 화북1동 4438
70,70,골프탕탕,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,제주특별자치도 서귀포시 안덕면 상천리 380-7
71,71,곱닥한개,제주특별자치도 제주시 설촌로10길 12,제주특별자치도 제주시 삼양이동 2101-10
72,72,곱뜨락아띠 향수공방,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,제주특별자치도 서귀포시 안덕면 사계리 2266-1
73,73,공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,제주특별자치도 제주시 구좌읍 월정리 52
74,74,공천포,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리
75,75,공천포구,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리
76,76,곶자왈,제주특별자치도 서귀포시 대정읍 신평리,제주특별자치도 서귀포시 대정읍 신평리
77,77,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,제주특별자치도 제주시 애월읍 곽지리 2043-1
78,78,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),제주특별자치도 제주시 애월읍 애월원당길 (곽지리)
79,79,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,명제주특별자치도 제주시 애월읍 곽지1길 31
80,80,관덕정,제주특별자치도 제주시 관덕로 19,제주특별자치도 제주시 삼도이동 983-1
81,81,관음사,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
82,82,관음사 군 주둔지 옛터,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
83,83,관음사 야영장,제주특별자치도 제주시 산록북로 588,제주특별자치도 제주시 오등동 산180-3
84,84,관음사 템플스테이,제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
85,85,광령귤나무,제주특별자치도 제주시 애월읍 광령8길 24-2,제주특별자치도 제주시 애월읍 광령리 1165-1
86,86,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,제주특별자치도 서귀포시 성산읍 고성리 224-18
87,87,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산95
88,88,구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,제주특별자치도 제주시 애월읍 구엄리 609-1
89,89,구엄포구,제주특별자치도 제주시 애월읍 구엄리,제주특별자치도 제주시 애월읍 구엄리
90,90,구좌 하도어촌계,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,제주특별자치도 제주시 구좌읍 하도리 22-10
91,91,구좌해안로,제주특별자치도 제주시 구좌읍 구좌해안로,제주특별자치도 제주시 구좌읍 동복리
92,92,국립제주박물관,제주특별자치도 제주시 일주동로 17,제주특별자치도 제주시 건입동 261
93,93,"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 산 3-1,제주특별자치도 서귀포시 안덕면 창천리 산 3-1
94,94,굴동포구,제주특별자치도 제주시 구좌읍 해맞이해안로,제주 제주시 구좌읍 하도리 385-12
95,95,굿다이버,제주특별자치도 서귀포시 중산간서로 41 (강정동),제주특별자치도 서귀포시 강정동 1528-3
96,96,궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 금백조로 446,제주특별자치도 서귀포시 성산읍 수산리 4711-1
97,97,귀덕연대,제주특별자치도 제주시 한림읍 귀덕14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1118
98,98,귀빈사,제주특별자치도 제주시 구좌읍 비자림로 1456,제주특별자치도 제주시 구좌읍 송당리 2438
99,99,귤밭76번지,제주특별자치도 제주시 화북이동 5495-2,제주특별자치도 제주시 화북이동 5495-2
100,100,귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428,제주특별자치도 제주시 조천읍 대흘리 172
101,101,그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174,제주특별자치도 서귀포시 대포동 2367-1
102,102,그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,제주특별자치도 서귀포시 남원읍 위미리 1881-2
103,103,그루밍시즌,제주특별자치도 서귀포시 동홍로 29,제주특별자치도 서귀포시 서귀동 260-13
104,104,그루밍제주,제주특별자치도 서귀포시 천제연로 357,제주특별자치도 서귀포시 회수동 556
105,105,그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,제주특별자치도 제주시 한림읍 금악리 산30-12
106,106,그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,제주특별자치도 서귀포시 안덕면 화순리 636-15
107,107,그린페블,제주특별자치도 제주시 한림읍 수동7길 54-3,제주특별자치도 제주시 한림읍 월림리 723
108,108,그제바람 윈드서핑패들보드,제주특별자치도 제주시 선사로8길 13-4,제주특별자치도 제주시 삼양일동 1569-42
109,109,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,제주특별자치도 제주시 한림읍 금능리 1282-9
110,110,금능포구,제주특별자치도 제주시 한림읍 금능리,제주특별자치도 제주시 한림읍 금능리
111,111,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,제주특별자치도 제주시 한림읍 금능리 2026
112,112,금당목장ATV,제주특별자치도 서귀포시 안덕면 신화역사로685번길 13-16,제주특별자치도 서귀포시 안덕면 동광리 57
113,113,금덕무환자나무및팽나무군락,제주특별자치도 제주시 애월읍 유수암리 1920,제주특별자치도 제주시 애월읍 유수암리 1920
114,114,금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11,제주특별자치도 제주시 구좌읍 김녕리 1145-49
115,115,금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,제주특별자치도 제주시 구좌읍 김녕리 1145-49
116,116,금붕사,제주특별자치도 제주시 구좌읍 일주동로 3618-1,제주특별자치도 제주시 구좌읍 하도리 994
117,117,금성포구,제주특별자치도 제주시 애월읍 금성리 573-1,제주특별자치도 제주시 애월읍 금성리 573-1
118,118,금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,제주특별자치도 제주시 한림읍 금악리 산 1-1
119,119,기독교순례길 1코스(순종의길),제주특별자치도 제주시 애월읍 금성하안길 3,제주특별자치도 제주시 애월읍 금성리 436-3
120,120,기독교순례길 2코스(순교의길),제주특별자치도 제주시 한림읍 협재8길 8,제주특별자치도 제주시 한림읍 협재리 1791
121,121,기독교순례길 3코스(사명의길),제주특별자치도 제주시 한경면 조수3길 7,제주특별자치도 제주시 한경면 조수리 331-1
122,122,기독교순례길 4코스(화해의길),제주특별자치도 서귀포시 대정읍 추사로36번길 11,제주특별자치도 서귀포시 대정읍 안성리 1639
123,123,김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,제주특별자치도 제주시 회천동 391
124,124,김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕로 209,제주특별자치도 제주시 구좌읍 김녕리 497-1
125,125,김녕 청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,명제주특별자치도 제주시 구좌읍 김녕로1길 75-1
126,126,김녕금속공예벽화마을,제주특별자치도 제주시 구좌읍 김녕항3길 18-16,제주특별자치도 제주시 구좌읍 김녕리 4001
127,127,김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,명제주특별자치도 제주시 구좌읍 덕평로 392-1
128,128,김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,제주특별자치도 제주시 구좌읍 김녕리 4212-1
129,129,김녕항,제주특별자치도 제주시 구좌읍 김녕항1길 50-13,제주특별자치도 제주시 구좌읍 김녕리 4074-2
130,130,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,제주특별자치도 제주시 구좌읍 김녕리 4330
131,131,김녕해수욕장야영장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,제주특별자치도 제주시 구좌읍 김녕리 497-4
132,132,김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,제주특별자치도 제주시 구좌읍 김녕리
133,133,김만덕객주,제주특별자치도 제주시 임항로 68,제주특별자치도 제주시 건입동 984-41
134,134,김만덕기념관,제주특별자치도 제주시 산지로 7,제주특별자치도 제주시 건입동 1164
135,135,김서프제주,제주특별자치도 서귀포시 색달로81번길 39,제주특별자치도 서귀포시 색달동 1992
136,136,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,제주특별자치도 서귀포시 성산읍 삼달리 437-5
137,137,김영수도서관,제주특별자치도 제주시 중앙로8길 18,제주특별자치도 제주시 삼도이동 17-3
138,138,김택화미술관,제주특별자치도 제주시 조천읍 신흥로 1,제주특별자치도 제주시 조천읍 신흥리 227-5
139,139,김한미술관 & 카페3206,제주특별자치도 제주시 한림읍 한상로 115,제주특별자치도 제주시 한림읍 상대리 3206
140,140,까끄래기오름,제주특별자치도 제주시 조천읍 교래리 128,제주특별자치도 제주시 조천읍 교래리 128
141,141,꽃썸,서귀포시 안덕면 동광로 151,제주특별자치도 서귀포시 안덕면 동광리 950-3
142,142,꿈바당 어린이도서관,제주특별자치도 제주시 연오로 140,제주특별자치도 제주시 연동 463
143,143,나바론절벽,제주특별자치도 제주시 추자면 영흥리 산 19,제주특별자치도 제주시 추자면 영흥리 산 19
144,144,나틸다,제주특별자치도 제주시 아란5길 31-6,제주특별자치도 제주시 아라일동 6093-2
145,145,낙선동 4.3성,제주특별자치도 제주시 조천읍 선흘서5길 13,제주특별자치도 제주시 조천읍 선흘리 2734-5
146,146,낙천리아홉굿의자마을,제주특별자치도 제주시 한경면 낙수로 97,제주특별자치도 제주시 한경면 낙천리 1913
147,147,낙천아홉굿마을 의자공원,제주특별자치도 제주시 한경면 낙수로 97,제주특별자치도 제주시 한경면 낙천리 1913
148,148,낙타트래킹,제주특별자치도 서귀포시 표선면 번영로 2564-21,제주특별자치도 서귀포시 표선면 성읍리 2684
149,149,남내소,제주특별자치도 서귀포시 남원읍 하례로,제주특별자치도 서귀포시 남원읍 하례리
150,150,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,제주특별자치도 제주시 애월읍 신엄리 2780-1
151,151,남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,제주특별자치도 서귀포시 대정읍 인성리 392
152,152,남수각 하늘길 벽화거리,제주특별자치도 제주시 중앙로13길 32,제주특별자치도 제주시 일도일동 1100-12
153,153,남원 위미2리 어촌계,제주특별자치도 서귀포시 남원읍 태위로 208,제주특별자치도 서귀포시 남원읍 위미리 1662-1
154,154,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,제주특별자치도 서귀포시 남원읍 남원리 2379-3
155,155,남원항 (남원포구),제주특별자치도 서귀포시 남원읍 남태해안로 140,제주특별자치도 서귀포시 남원읍 남원리 91-6
156,156,납읍난대림 금산공원,제주특별자치도 제주시 애월읍 납읍리 14 57,제주특별자치도 제주시 애월읍 납읍리 14 57
157,157,내창트레킹,제주특별자치도 서귀포시 남원읍 하례중앙로 95,제주특별자치도 서귀포시 남원읍 하례리 677
158,158,너도나도 ATV,제주특별자치도 제주시 조천읍 비자림로 1053,제주특별자치도 제주시 조천읍 교래리 38
159,159,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,제주특별자치도 제주시 조천읍 북촌리 1599
160,160,넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8,제주특별자치도 제주시 노형동 86
161,161,노루생태관찰원,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산51-2
162,162,노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 654-1
163,163,노을승마장,제주특별자치도 제주시 우도면 우도해안길 406-1,제주특별자치도 제주시 우도면 연평리 2358
164,164,노을해안1014,제주특별자치도 제주시 한경면 노을해안로 1014,제주특별자치도 제주시 한경면 고산리 3431-1
165,165,노을해안로,제주특별자치도 서귀포시 대정읍 노을해안로 24,제주특별자치도 서귀포시 대정읍 일과리 1424-1
166,166,노형수퍼마켙,제주특별자치도 제주시 노형로 89,제주특별자치도 제주시 해안동 2137-1
167,167,녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,제주특별자치도 서귀포시 표선면 가시리 산 87-15
168,168,논짓물,제주특별자치도 서귀포시 하예동,제주특별자치도 서귀포시 하예동
169,169,놀멍쉬멍고르멍(애견카페),제주특별자치도 서귀포시 현청로 51,제주특별자치도 서귀포시 서홍동 136-1
170,170,놀자개,제주특별자치도 제주시 오광로 143,제주특별자치도 제주시 노형동 3702-2
171,171,농개,제주특별자치도 서귀포시 성산읍 환해장성로111번길 4,제주특별자치도 서귀포시 성산읍 신산리 561-1
172,172,높은오름,제주특별자치도 제주시 구좌읍 송당리 산 213-1,제주특별자치도 제주시 구좌읍 송당리 산 213-1
173,173,누운오름(한림읍),제주특별자치도 제주시 한림읍 금악리 188-2,제주특별자치도 제주시 한림읍 금악리 188-2
174,174,누웨마루거리(구 바오젠),제주특별자치도 제주시 신광로 47,제주특별자치도 제주시 연동 273-1
175,175,눈물의십자가,제주특별자치도 제주시 추자도,제주특별자치도 제주시 추자도
176,176,느지리오름(망오름),제주특별자치도 제주시 한림읍 상명리 산 5,명제주특별자치도 제주시 한림읍 봉수대길 5
177,177,니모스토리,제주특별자치도 제주시 구좌읍 김녕로17길 33-1,제주특별자치도 제주시 구좌읍 김녕리 1267-1
178,178,다끄네포구(용담포구),제주특별자치도 제주시 용담3동,제주특별자치도 제주시 용담3동
179,179,다랑쉬굴,제주특별자치도 제주시 구좌읍 세화리 2608-6,제주특별자치도 제주시 구좌읍 세화리 2608-6
180,180,다랑쉬마을,제주특별자치도 제주시 구좌읍 다랑쉬로 406-25,제주특별자치도 제주시 구좌읍 세화리 2668-2
181,181,다랑쉬오름(월랑봉),제주특별자치도 제주시 구좌읍 세화리 2705,제주특별자치도 제주시 구좌읍 세화리 2705
182,182,다려도,제주특별자치도 제주시 조천읍 북촌리,제주특별자치도 제주시 조천읍 북촌리
183,183,다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644,제주특별자치도 서귀포시 표선면 성읍리 2381
184,184,단산(바굼지오름),제주특별자치도 서귀포시 안덕면 향교로 165-23,제주특별자치도 서귀포시 안덕면 사계리 3124
185,185,단산과 방사탑,제주특별자치도 제주시 조천읍 신흥로1길 25,제주특별자치도 제주시 조천읍 신흥리 512-1
186,186,달다제주,제주특별자치도 제주시 조천읍 조함해안로 9,제주특별자치도 제주시 조천읍 조천리 2593-3
187,187,닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1,제주특별자치도 제주시 조천읍 신촌리 2408-1
188,188,답다니 탑망대 (하트원담),제주특별자치도 제주시 우도면 연평리 798,제주특별자치도 제주시 우도면 연평리 798
189,189,"당산봉(당오름,차귀오름)",제주특별자치도 제주시 한경면 고산리 산 15,제주특별자치도 제주시 한경면 고산리 산 15
190,190,당오름,제주특별자치도 제주시 구좌읍 송당리 산 199-1,제주특별자치도 제주시 구좌읍 송당리 산 199-1
191,191,당오름(안덕면),제주특별자치도 서귀포시 안덕면 동광리 산 68-1,제주특별자치도 서귀포시 안덕면 동광리 산 68-1
192,192,당오름(한경면),제주특별자치도 제주시 한경면 용수리 산 18,제주특별자치도 제주시 한경면 용수리 산 18
193,193,당케산물(당케포구),제주특별자치도 서귀포시 표선면 표선당포로,제주 서귀포시 표선면 표선리 1-2
194,194,대림리선돌,제주특별자치도 제주시 한림읍 대림리,제주특별자치도 제주시 한림읍 대림리
195,195,"대수산봉(큰물뫼,물미오름)",제주특별자치도 서귀포시 성산읍 고성리 2039-1,제주특별자치도 서귀포시 성산읍 고성리 2039-1
196,196,대수포구,제주특별자치도 제주시 한림읍 수원리 1027-7,제주특별자치도 제주시 한림읍 수원리 1027-7
197,197,"대왕산 (왕뫼, 왕메, 왕미)",제주특별자치도 서귀포시 성산읍 수산리 1429,제주특별자치도 서귀포시 성산읍 수산리 1429
198,198,대유ATV수렵사격랜드,제주특별자치도 서귀포시 상예로 381,제주특별자치도 서귀포시 상예동 144
199,199,대장금촬영지(제주민속촌),제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40-1
200,200,대정면 4.3사건 위령비,제주특별자치도 서귀포시 대정읍 동일하모로 158-3,제주특별자치도 서귀포시 대정읍 하모리 1224
201,201,대정해변(하모해변),제주특별자치도 서귀포시 대정읍 하모리,제주특별자치도 서귀포시 대정읍 하모리
202,202,대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17,제주특별자치도 서귀포시 안덕면 사계리 3126-1
203,203,대정현역사자료전시관,제주특별자치도 서귀포시 대정읍 상모대서로 17,제주특별자치도 서귀포시 대정읍 상모리 3862-1
204,204,대평포구,제주특별자치도 서귀포시 안덕면 감천로190번길 9-62-2,제주 서귀포시 안덕면 창천리 914-5
205,205,대포포구,제주특별자치도 서귀포시 대포로,제주 서귀포시 대포동
206,206,대한민국최남단기념비/ 마라도 기념비,제주특별자치도 서귀포시 대정읍 마라로 131,제주특별자치도 서귀포시 대정읍 가파리 583-9
207,207,댕댕놀이터,제주특별자치도 제주시 도근내길 56,제주특별자치도 제주시 내도동 720
208,208,댕댕샤워,제주특별자치도 제주시 애월읍 하귀9길 54-8,제주특별자치도 제주시 애월읍 하귀1리 161-10
209,209,더 플래닛(THE PLANET),제주특별자치도 서귀포시 천제연로 70,제주특별자치도 서귀포시 색달동 2558
210,210,"더럭초등학교(구, 더럭분교)",제주특별자치도 제주시 애월읍 하가로 195,제주특별자치도 제주시 애월읍 하가리 1580-1
211,211,더마카트,제주특별자치도 제주시 한림읍 월림7길 155,제주특별자치도 제주시 한림읍 월림리 2364
212,212,더마파크,제주특별자치도 제주시 한림읍 월림7길 155,제주특별자치도 제주시 한림읍 월림리 2364
213,213,더펫츠,제주특별자치도 제주시 1100로 3124,제주특별자치도 제주시 노형동 156-8
214,214,더힐하우스스파,제주특별자치도 제주시 한림읍 한창로 925-122,제주특별자치도 제주시 한림읍 금악리 84-1
215,215,덕천곤충영농조합,제주특별자치도 제주시 구좌읍 중산간동로 1875,제주특별자치도 제주시 구좌읍 덕천리 1252
216,216,덕천리 팔자 좋아 길,제주특별자치도 제주시 구좌읍 중산간동로,제주특별자치도 제주시 구좌읍 덕천리
217,217,뎁스원 프리다이빙센터,제주특별자치도 제주시 한림읍 한림로 375,제주특별자치도 제주시 한림읍 협재리 1890
218,218,도곤도곤 애견미용실,제주특별자치도 제주시 성신로1길 21,제주특별자치도 제주시 연동 2326-13
219,219,도그앤캣,제주특별자치도 서귀포시 홍중로 119-2  601동 107호,제주특별자치도 서귀포시 서홍동 2598
220,220,도도펫,제주특별자치도 제주시 우령8길 63-16,제주특별자치도 제주시 외도일동 633-17
221,221,도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,제주특별자치도 제주시 도두1동
222,222,도두봉,제주특별자치도 제주시 도두동 산 1,제주특별자치도 제주시 도두동 산 1
223,223,도두항,제주특별자치도 제주시 도공로 2,제주특별자치도 제주시 도두일동 2614-5
224,224,도두해안도로,제주특별자치도 제주시 도두2동 706-3,제주특별자치도 제주시 도두2동 706-3
225,225,도령모루,제주특별자치도,제주특별자치도
